kk,kv,s,sv,c1,c1v,c2,c2v,g,gv,d1,d1v,d1p,d1pp,d2,d2v,d2p,d2pp,d3,d3v,d3p,d3pp,s1,s1v,s1p,s1pp,s2,s2v,s2p,s2pp,s3,s3v,s3p,s3pp,s4,s4v,s4p,s4pp,s5,s5v,s5p,s5pp,s6,s6v,s6p,s6pp,s7,s7v,s7p,s7pp,s8,s8v,s8p,s8pp
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.14,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.13,0.67,62.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,1,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,1,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,1,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,1,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00,0,1.00,1.00,100.00
