kk,kv,s,sv,c1,c1v,c2,c2v,g,gv,d1,d1v,d1p,d1pp,d2,d2v,d2p,d2pp,d3,d3v,d3p,d3pp,d4,d4v,d4p,d5,d5v,d5p,d6,d6v,d6p,d7,d7v,d7p,d8,d8v,d8p,d9,d9v,d9p,d10,d10v,d10p,d11,d11v,d11p
1,64,0,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,0,64,64,33,0,65,65,1,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,1,64,64,64,0,64,64,33,0,65,65,0,66,66,1,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,1,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,1,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,1,69,69,0,70,70,0,71,71,0,72,72
1,64,1,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,1,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,1,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,1,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,1,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,1,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
1,64,0,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,0,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,1,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,0,64,1,64,64,64,1,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
1,64,1,64,0,64,0,64,0,64,1,64,64,64,0,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,1,64,0,64,0,64,1,64,64,64,1,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,1,64,0,64,1,64,64,64,0,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
0,64,0,64,0,64,0,64,1,64,1,64,64,64,1,64,64,64,1,64,64,33,0,65,65,0,66,66,0,67,67,0,68,68,0,69,69,0,70,70,0,71,71,0,72,72
