"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Ns";;;
2;"J12";"SolderWirePad_1x01_Drill1mm";1;"Noise_OUT";;;
3;"J11";"SolderWirePad_1x01_Drill1mm";1;"Noise_IN";;;
4;"R67,R48";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"1k";;;
5;"REF**,REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";5;"MountingHole_3.5mm_Pad";;;
6;"D9,D8,D7,D6,D5,D4,D3,D2,D1";"D_SOD-323";9;"D_Small";;;
7;"FB2,FB1";"L_Axial_L7.0mm_D3.3mm_P2.54mm_Vertical_Fastron_MICC";2;"Ferrite_Bead_Small";;;
8;"J10";"IDC-Header_2x05_P2.54mm_Vertical";1;"PWR_Conn";;;
9;"U4,U1";"SOIC-8_3.9x4.9mm_P1.27mm";2;"TL072";;;
10;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"40106";;;
11;"RV10";"Potentiometer_Runtron_RM-065_Vertical";1;"100k";;;
12;"RV2";"Potentiometer_Runtron_RM-065_Vertical";1;"1M";;;
13;"R66,R54,R52,R39,R31,R28,R20,R18,R12,R6,R2,R65,R46,R43,R42,R33,R35";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";17;"100k";;;
14;"R64,R9,R4";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"1M";;;
15;"R63";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10M";;;
16;"R62,R38,R16,R14";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"470k";;;
17;"R61";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330k-2M2 depending on noise lvl";;;
18;"R58,R56,R15,R25";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"2k2";;;
19;"R57,R36";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"47R";;;
20;"R53,R47,R37,R8,R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"10k";;;
21;"R51";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"3k3";;;
22;"R50,R45,R24,R13,R11,R60";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";6;"47k";;;
23;"R49,R40,R23,R19,R7,R5,R59,R27";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"22k";;;
24;"R44";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1k8";;;
25;"R41";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"150k";;;
26;"R34";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"39k";;;
27;"R32";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"330";;;
28;"R29,R26,R22,R10,R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"4k7";;;
29;"R21";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"12k";;;
30;"R17";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"6k8";;;
31;"Q13,Q12,Q11,Q9,Q8,Q4,Q3";"TSOT-23_HandSoldering";7;"2N3904";;;
32;"Q7,Q6,Q5,Q2,Q1,Q10";"TSOT-23_HandSoldering";6;"2N3906";;;
33;"J24";"SolderWirePad_1x01_Drill1mm";1;"Out3";;;
34;"J21";"SolderWirePad_1x01_Drill1mm";1;"NoisW";;;
35;"J20";"SolderWirePad_1x01_Drill1mm";1;"Out1W";;;
36;"J19";"SolderWirePad_1x01_Drill1mm";1;"Dist3";;;
37;"J18";"SolderWirePad_1x01_Drill1mm";1;"Dec3";;;
38;"J16";"SolderWirePad_1x01_Drill1mm";1;"Dec1W";;;
39;"J15";"SolderWirePad_1x01_Drill1mm";1;"Atk1W";;;
40;"J14";"SolderWirePad_1x01_Drill1mm";1;"Atk3";;;
41;"J9";"SolderWirePad_1x01_Drill1mm";1;"Out";;;
42;"J8";"SolderWirePad_1x01_Drill1mm";1;"pitch3";;;
43;"J5";"SolderWirePad_1x01_Drill1mm";1;"depth_3";;;
44;"J2";"SolderWirePad_1x01_Drill1mm";1;"trig";;;
45;"J1";"SolderWirePad_1x01_Drill1mm";1;"VelW";;;
46;"C30,C29,C25,C24,C23,C22,C21,C10";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"100n";;;
47;"C20,C19,C17";"CP_Elec_5x5.4";3;"10u";;;
48;"C18,C7";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"330n";;;
49;"C15";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2u2";;;
50;"C14,C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"470n";;;
51;"C13,C4,C16";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"33n";;;
52;"C12,C2";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"100p";;;
53;"C11";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"4n7";;;
54;"C9,C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"3n3";;;
55;"C8";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"6n8";;;
56;"C5";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"68n";;;
57;"C3";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2n2";;;
58;"R55,R30";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"330k";;;
59;"J17";"SolderWirePad_1x01_Drill1mm";1;"Dist1W";;;
60;"J7";"SolderWirePad_1x01_Drill1mm";1;"pitch1W";;;
61;"J6";"SolderWirePad_1x01_Drill1mm";1;"depth_W";;;
62;"J4";"SolderWirePad_1x01_Drill1mm";1;"depth_1";;;
63;"J3";"SolderWirePad_1x01_Drill1mm";1;"tune_pot";;;
64;"U3";"SOIC-14_3.9x8.7mm_P1.27mm";1;"TL074";;;
