Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,3n3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.24,-62.4,90,top
C2,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,25.58,-49.92,270,top
C3,2n2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,35.36,-68.13,0,top
C4,33n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,21.07,-23.35,10,top
C5,68n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.35,-77.61,0,top
C6,470n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,41.82,-21.71,0,top
C7,330n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.756,-51.666,90,top
C8,6n8,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,35.39,-71.22,180,top
C9,3n3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.78,-71.66,180,top
C10,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.58,-21.67,280,top
C11,4n7,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,40.39,-74.67,180,top
C12,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.4,-77.19,90,top
C13,33n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,49.6,-22.03,90,top
C14,470n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.68,-80.6,90,top
C15,2u2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,36.08,-39.2,180,top
C16,33n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.386,-58.886,90,top
C17,10u,CP_Elec_5x5.4,26.21,-33.87,190,top
C18,330n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,50.31,-39.82,0,top
C19,10u,CP_Elec_5x5.4,31.910086,-90.889532,0,top
C20,10u,CP_Elec_5x5.4,40.260086,-90.749531,0,top
D1,D_Small,D_SOD-323,26.4,-75.24,180,top
D2,D_Small,D_SOD-323,31.78,-71.58,90,top
D3,D_Small,D_SOD-323,43.37,-64.98,270,top
D4,D_Small,D_SOD-323,39.39,-64.74,270,top
D5,D_Small,D_SOD-323,47.67,-44.95,0,top
D6,D_Small,D_SOD-323,47.64,-42.58,0,top
D7,D_Small,D_SOD-323,50.87,-31.99,180,top
D8,D_Small,D_SOD-323,50.87,-34.42,0,top
D9,D_Small,D_SOD-323,46.61,-55.02,0,top
Q1,2N3906,TSOT-23_HandSoldering,22.78,-56.3,270,top
Q2,2N3906,TSOT-23_HandSoldering,19.61,-48.25,270,top
Q3,2N3904,TSOT-23_HandSoldering,27.55,-72.26,0,top
Q4,2N3904,TSOT-23_HandSoldering,18.56,-33.99,250,top
Q5,2N3906,TSOT-23_HandSoldering,35.19,-64.09,0,top
Q6,2N3906,TSOT-23_HandSoldering,40.12,-69.13,180,top
Q7,2N3906,TSOT-23_HandSoldering,28.97,-84.99,300,top
Q8,2N3904,TSOT-23_HandSoldering,40.15,-81.98,270,top
Q9,2N3904,TSOT-23_HandSoldering,42.22,-31.71,180,top
Q10,2N3906,TSOT-23_HandSoldering,28.776,-55.086,0,top
Q11,2N3904,TSOT-23_HandSoldering,31.4,-38.63,180,top
Q12,2N3904,TSOT-23_HandSoldering,49.67,-64.97,100,top
Q13,2N3904,TSOT-23_HandSoldering,48.25,-37.32,0,top
R1,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,23.12,-50.52,180,top
R2,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.24,-66.37,90,top
R3,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,23.105,-48.99,0,top
R4,1M,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,22.78,-52.53,0,top
R5,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,51.07,-25.44,270,top
R6,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,20.23,-55.01,90,top
R7,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,26.24,-60.52,180,top
R8,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,23.79,-72.21,270,top
R9,1M,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,19.63,-44.44,0,top
R10,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.89,-67.5,270,top
R11,47k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.420001,-64.08,90,top
R12,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.35,-67.47,90,top
R13,47k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,19.73,-41.54,180,top
R14,470k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,18.64,-29.87,340,top
R15,2k2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,36.53,-66.600001,0,top
R16,470k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,18.81,-26.96,280,top
R17,6k8,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,45.39,-64.32,90,top
R18,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,41.36,-65.45,270,top
R19,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,41.38,-62.05,90,top
R20,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.2,-79.21,180,top
R21,12k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,44.32,-21.08,270,top
R22,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.49,-24.46,90,top
R23,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,35.38,-69.67,0,top
R24,47k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,27.2,-80.73,0,top
R25,2k2,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,28.216,-51.656,90,top
R26,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.3,-21.01,320,top
R27,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.306,-50.206,90,top
R28,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,40.31,-73.2,180,top
R29,4k7,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,37.21,-22.13,140,top
R30,330k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,32.836,-50.196,270,top
R31,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,36.91,-73.21,180,top
R32,330,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,37.25,-24.22,140,top
R33,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,33.456,-52.656,0,top
R34,39k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,39.97,-77.19,270,top
R35,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,34.376,-50.196,270,top
R36,47R,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,38.42,-31.81,90,top
R37,10k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.26,-77.2,90,top
R38,470k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,49.48,-25.48,90,top
R39,100k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.85,-77.19,270,top
R40,22k,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,42.68,-83.98,270,top
