Ref,Val,Package,PosX,PosY,Rot,Side
"C26","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.370000,-117.090000,0.000000,top
"C27","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",99.700000,-119.410000,270.000000,top
"C28","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",191.226676,-21.621694,270.000000,top
"C29","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",76.950000,-61.010000,280.000000,top
"C31","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.570000,-53.080000,110.000000,top
"C33","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",352.784803,-88.048855,40.000000,top
"C41","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",352.390000,-145.200000,120.000000,top
"C42","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",47.300000,-105.560000,140.000000,top
"C44","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",212.580000,-40.610000,0.000000,top
"C49","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",252.520000,-147.600000,290.000000,top
"C50","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",248.030000,-143.800000,290.000000,top
"C51","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",243.855192,-84.551142,220.000000,top
"C52","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",238.640000,-77.280000,270.000000,top
"C54","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",289.280000,-136.540000,230.000000,top
"C55","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",308.420000,-148.370000,110.000000,top
"C56","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",361.452679,-116.161960,120.000000,top
"C57","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",362.100000,-112.850000,290.000000,top
"C58","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",343.960000,-104.070000,150.000000,top
"C59","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",353.980000,-105.240000,20.000000,top
"C60","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",390.170000,-57.680000,350.000000,top
"C61","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",395.955000,-52.140002,180.000000,top
"C62","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",392.580000,-33.570000,90.000000,top
"C69","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",140.940000,-36.520000,0.000000,top
"C70","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",120.260000,-18.990000,0.000000,top
"R159","220","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",190.050000,-16.470000,0.000000,top
"U6","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",59.190000,-121.930000,90.000000,top
"U7","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",93.360000,-119.710000,90.000000,top
"U11","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",91.800000,-87.060000,270.000000,top
"U12","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",90.060000,-103.230000,180.000000,top
"U14","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",205.040000,-38.340000,270.000000,top
"U18","74HC595","SOIC-16_3.9x9.9mm_P1.27mm",174.680000,-47.470000,200.000000,top
"U19","CD4051B","SOIC-16_3.9x9.9mm_P1.27mm",351.650000,-64.340000,330.000000,top
