Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2u2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.339428,-29.500308,70,top
C2,100p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,43.48,-71.16,270,top
C3,10n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,40.14,-104.03,220,top
C4,10u,CP_Elec_5x5.4,38.929944,-28.229313,300,top
C5,6n8,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,45.060001,-63.554999,270,top
C6,15n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,28.63,-50.29,180,top
C7,470n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.89,-60.68,90,top
C8,3n3,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.295491,-44.038075,340,top
C9,22n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,31.16,-47.36,90,top
C10,220p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,30.038789,-40.941513,250,top
C11,10n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,29.062627,-91.379907,120,top
C12,2n2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,39.22,-40.13,0,top
C13,2n2,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,44.14,-40.95,350,top
C14,470p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,44.82,-52.5,120,top
C15,6n8,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,52.310001,-83.059999,90,top
C16,10p,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,55.03,-40.17,300,top
C17,0.47u,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,51.69,-30.66,300,top
C18,100n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,35.924999,-75.470001,180,top
C19,4n7,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,40.41,-77.06,90,top
C20,47n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,45.01,-73.7,270,top
C21,10n,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,53.92,-78.49,250,top
C22,10u,CP_Elec_5x5.4,54.55,-115.51,140,top
C23,10u,CP_Elec_5x5.4,27.49,-116.11,190,top
D1,D_Small,D_SOD-323_HandSoldering,42.491665,-105.737625,310,top
D2,D_Small,D_SOD-323_HandSoldering,47.88,-70.12,180,top
D4,D_Small,D_SOD-323_HandSoldering,37.23,-60.34,90,top
D5,D_Small,D_SOD-323_HandSoldering,32.212685,-103.25597,210,top
D6,D_Small,D_SOD-323_HandSoldering,46.82,-62.03,90,top
D7,D_Small,D_SOD-323_HandSoldering,31.66,-60.33,90,top
D8,D_Small,D_SOD-323_HandSoldering,46.34,-94.14,120,top
D9,D_Small,D_SOD-323_HandSoldering,52.907149,-54.197776,50,top
D10,D_Small,D_SOD-323_HandSoldering,27.89,-78.28,270,top
D11,D_Small,D_SOD-323_HandSoldering,29.849998,-78.27,90,top
D12,D_Small,D_SOD-323_HandSoldering,38.62,-76.74,270,top
D13,D_Small,D_SOD-323_HandSoldering,55.66,-84.89,270,top
D14,D_Small,D_SOD-323_HandSoldering,46.13,-84,0,top
D15,D_Small,D_SOD-323_HandSoldering,47.9,-72.14,0,top
Q1,2N3904,TSOT-23_HandSoldering,50.81,-62.37,180,top
Q2,2N3904,TSOT-23_HandSoldering,42.93,-25.77,300,top
Q3,2N3906,TSOT-23_HandSoldering,54.25,-68.66,270,top
Q4,2N3906,TSOT-23_HandSoldering,41.23,-60.620003,180,top
Q5,2N3906,TSOT-23_HandSoldering,48.86,-65.85,0,top
