Ref,Val,Package,PosX,PosY,Rot,Side
"C24","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",50.110000,-87.880000,0.000000,bottom
"C25","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",26.178293,-97.751943,10.000000,bottom
"C26","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",26.350000,-93.090000,120.000000,bottom
"C27","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",32.200000,-35.420000,70.000000,bottom
"C28","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",48.150000,-105.590000,220.000000,bottom
"C29","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",45.720000,-107.890000,100.000000,bottom
"C30","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",30.170000,-37.380000,290.000000,bottom
"C31","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",36.000000,-68.660000,270.000000,bottom
"C33","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.960000,-93.930000,90.000000,bottom
"C34","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",49.610000,-40.200000,300.000000,bottom
"C35","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",51.140000,-43.610000,300.000000,bottom
"C36","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",40.720000,-64.720000,240.000000,bottom
