Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",28.339428,-29.500308,70.000000,top
"C2","100p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",43.480000,-71.160000,270.000000,top
"C3","10n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",40.140000,-104.030000,220.000000,top
"C4","10u","CP_Elec_5x5.4",38.929944,-28.229313,300.000000,top
"C5","6n8","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",45.060001,-63.554999,270.000000,top
"C6","15n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",28.630000,-50.290000,180.000000,top
"C7","470n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",29.890000,-60.680000,90.000000,top
"C8","3n3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",31.295491,-44.038075,340.000000,top
"C9","22n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",31.160000,-47.360000,90.000000,top
"C10","220p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",30.038789,-40.941513,250.000000,top
"C11","10n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",29.062627,-91.379907,120.000000,top
"C12","2n2","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",39.220000,-40.130000,0.000000,top
"C13","2n2","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",44.140000,-40.950000,350.000000,top
"C14","470p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",44.820000,-52.500000,120.000000,top
"C15","6n8","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",52.310001,-83.059999,90.000000,top
"C16","10p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",55.030000,-40.170000,300.000000,top
"C17","0.47u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",51.690000,-30.660000,300.000000,top
"C18","100n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",35.924999,-75.470001,180.000000,top
"C19","4n7","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",40.410000,-77.060000,90.000000,top
"C20","47n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",45.010000,-73.700000,270.000000,top
"C21","10n","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",53.920000,-78.490000,250.000000,top
"C22","10u","CP_Elec_5x5.4",54.550000,-115.510000,140.000000,top
"C23","10u","CP_Elec_5x5.4",27.490000,-116.110000,190.000000,top
"D1","D_Small","D_SOD-323_HandSoldering",42.491665,-105.737625,310.000000,top
