"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J18";"SolderWirePad_1x01_Drill1mm";1;"Noise_OUT";;;
2;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Ns";;;
3;"J17";"SolderWirePad_1x01_Drill1mm";1;"Noise_In";;;
4;"R74,R22,R19";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"1k";;;
5;"C33,C24,C36,C35,C34,C31,C30,C29,C28,C27,C26,C25,C18";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";13;"100n";;;
6;"J16";"IDC-Header_2x05_P2.54mm_Vertical";1;"PWR_Conn";;;
7;"FB2,FB1";"L_Axial_L7.0mm_D3.3mm_P2.54mm_Vertical_Fastron_MICC";2;"Ferrite_Bead_Small";;;
8;"R30";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330k-2M2";;;
9;"J15";"SolderWirePad_1x01_Drill1mm";1;"LVL3W";;;
10;"J14";"SolderWirePad_1x01_Drill1mm";1;"LVL1";;;
11;"J13";"SolderWirePad_1x01_Drill1mm";1;"Snap3W";;;
12;"J12";"SolderWirePad_1x01_Drill1mm";1;"Snap1";;;
13;"J11";"SolderWirePad_1x01_Drill1mm";1;"ton3W";;;
14;"J10";"SolderWirePad_1x01_Drill1mm";1;"Ton1";;;
15;"J9";"SolderWirePad_1x01_Drill1mm";1;"TuneW";;;
16;"J8";"SolderWirePad_1x01_Drill1mm";1;"Tune3";;;
17;"J7";"SolderWirePad_1x01_Drill1mm";1;"Tune1";;;
18;"REF**,REF**";"MountingHole_3.5mm_Pad";2;"MountingHole_3.5mm_Pad";;;
19;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2u2";;;
20;"U10,U9,U7,U6,U5,U4,U1";"SOIC-8_3.9x4.9mm_P1.27mm";7;"TL072";;;
21;"U2";"SOIC-14_3.9x8.7mm_P1.27mm";1;"4069";;;
22;"RV2";"Potentiometer_Runtron_RM-065_Vertical";1;"100k";;;
23;"R73,R66,R58,R55,R50,R48,R45,R40,R33,R29,R28,R26,R21,R20,R17,R16,R13,R9,R7,R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";20;"100k";;;
24;"R72,R65,R64,R56,R38,R35,R6,R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";8;"22k";;;
25;"R71,R70,R63,R52,R36,R34";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";6;"220k";;;
26;"R69,R62,R51,R42";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"47R";;;
27;"R68,R49";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"2k2";;;
28;"R67,R59,R57,R44,R43,R31,R25,R24,R15,R14,R5,R4,R2";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";13;"10k";;;
29;"R61";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1k5";;;
30;"R60,R54,R46,R39,R8";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";5;"47k";;;
31;"R53,R37,R27,R23";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"1M";;;
32;"R47";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"6k8";;;
