"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
2;"C1,C2,C3";"C_Rect_L7.0mm_W2.5mm_P5.00mm";3;"470n";;;
3;"C4,C5,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";3;"100p";;;
4;"C7,C8,C9";"CP_Radial_D4.0mm_P2.00mm";3;"47u";;;
5;"C11";"CP_Radial_D4.0mm_P2.00mm";1;"10u";;;
6;"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12";"D_T-1_P5.08mm_Horizontal";12;"1N914";;;
7;"J1";"SolderWirePad_1x01_Drill1mm";1;"CV_1_A";;;
8;"J2";"SolderWirePad_1x01_Drill1mm";1;"CV_1_B";;;
9;"J3";"SolderWirePad_1x01_Drill1mm";1;"CV_1_C";;;
10;"J4";"SolderWirePad_1x01_Drill1mm";1;"CV_2_A";;;
11;"J5";"SolderWirePad_1x01_Drill1mm";1;"CV_2_B";;;
12;"J6";"SolderWirePad_1x01_Drill1mm";1;"CV_2_C";;;
13;"J7";"SolderWirePad_1x01_Drill1mm";1;"IN_A";;;
14;"J8";"SolderWirePad_1x01_Drill1mm";1;"Sum_In_B";;;
15;"J9";"SolderWirePad_1x01_Drill1mm";1;"IN_B";;;
16;"J10";"SolderWirePad_1x01_Drill1mm";1;"Sum_In_C";;;
17;"J11";"SolderWirePad_1x01_Drill1mm";1;"IN_C";;;
18;"J12";"SolderWirePad_1x01_Drill1mm";1;"DC_OUT_A";;;
19;"J13";"SolderWirePad_1x01_Drill1mm";1;"AC_OUT_A";;;
20;"J14";"SolderWirePad_1x01_Drill1mm";1;"DC_OUT_B";;;
21;"J15";"SolderWirePad_1x01_Drill1mm";1;"AC_OUT_B";;;
22;"J16";"SolderWirePad_1x01_Drill1mm";1;"DC_OUT_C";;;
23;"J17";"SolderWirePad_1x01_Drill1mm";1;"AC_OUT_C";;;
24;"J18";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
25;"J19";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
26;"J20";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
27;"J21";"SolderWirePad_1x01_Drill1mm";1;"AUX_In_A";;;
28;"R1,R2,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"100K";;;
29;"R4,R5,R6,R16,R17,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"R_US";;;
30;"R7,R8,R9,R10,R11,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"220k";;;
31;"R13,R14,R15,R19,R20,R21";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"1M5";;;
32;"R22,R23,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"330";;;
33;"R25,R26,R27";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"150k";;;
34;"RV1,RV2,RV3";"Potentiometer_Runtron_RM-065_Vertical";3;"20k";;;
35;"U1";"DIP-14_W7.62mm_Socket";1;"LM3900";;;
